bar_index,bar_time_epoch_ms,bar_time_utc,bar_time_london,within_export_window,symbol,timeframe,session,session_phase,open,high,low,close,volume,direction,range,body_size,body_ratio,upper_wick,lower_wick,upper_wick_ratio,lower_wick_ratio,close_location,atr,body_atr,range_atr,net_progress_3,net_progress_6,net_progress_12,net_progress_atr_3,net_progress_atr_6,net_progress_atr_12,directional_efficiency_3,directional_efficiency_6,directional_efficiency_12,overlap_with_previous,overlap_ratio_previous,consecutive_higher_closes,consecutive_lower_closes,nearest_level,nearest_level_source,nearest_level_distance,nearest_level_distance_atr,previous_day_high,previous_day_low,previous_session_high,previous_session_low,consolidation_high,consolidation_low,m15_time,m15_direction,m15_trend,m15_efficiency,m15_atr,m15_swing_high,m15_swing_low,m30_time,m30_direction,m30_trend,m30_efficiency,m30_atr,m30_swing_high,m30_swing_low,h1_time,h1_direction,h1_trend,h1_efficiency,h1_atr,h1_swing_high,h1_swing_low
21208,1785414300000,2026-07-30T12:25:00Z,2026-07-30T13:25:00+01:00,true,USDJPY,5,LONDON_NEW_YORK_OVERLAP,LONDON_NEW_YORK_OVERLAP,162.897,162.906,162.865,162.893,1388,BEARISH,0.041,0.004,0.0975609756,0.009,0.028,0.2195121951,0.6829268293,0.6829268293,0.0827,0.0483675937,0.4957678356,0.016,0.001,-0.068,0.1934703748,0.0120918984,-0.8222490931,0.347826087,0.0057803468,0.1920903955,0.033,0.8048780488,0,2,162.851,CONFIRMED_SWING_LOW,0.042,0.5079,163.91,163.229,163.91,163.229,163.697,163.631,1785412800000,BEARISH,-1,0.4512,0.1437,163.048,162.288,1785411000000,NEUTRAL,0,0.4024,0.1834,163.743,162.288,1785409200000,BEARISH,-1,0.3866,0.2277,163.743,163.209
21209,1785414600000,2026-07-30T12:30:00Z,2026-07-30T13:30:00+01:00,true,USDJPY,5,LONDON_NEW_YORK_OVERLAP,LONDON_NEW_YORK_OVERLAP,162.895,162.936,162.777,162.871,2727,BEARISH,0.159,0.024,0.1509433962,0.041,0.094,0.2578616352,0.5911949686,0.5911949686,0.0881,0.2724177072,1.8047673099,-0.037,-0.034,-0.143,-0.4199772985,-0.3859250851,-1.6231555051,1,0.1868131868,0.4427244582,0.041,1,0,3,162.851,CONFIRMED_SWING_LOW,0.02,0.2269,163.91,163.229,163.91,163.229,163.697,163.631,1785413700000,BEARISH,-1,0.4797,0.1388,163.048,162.288,1785412800000,NEUTRAL,0,0.3967,0.1773,163.743,162.288,1785409200000,BEARISH,-1,0.3866,0.2277,163.743,163.209
21210,1785414900000,2026-07-30T12:35:00Z,2026-07-30T13:35:00+01:00,true,USDJPY,5,LONDON_NEW_YORK_OVERLAP,LONDON_NEW_YORK_OVERLAP,162.87,162.893,162.768,162.781,4248,BEARISH,0.125,0.089,0.712,0.023,0.013,0.184,0.104,0.104,0.0908,0.9801762115,1.3766519824,-0.117,-0.167,-0.226,-1.2885462555,-1.8392070485,-2.4889867841,1,0.7292576419,0.5566502463,0.116,0.928,0,4,162.851,CONFIRMED_SWING_LOW,0.07,0.7711,163.91,163.229,163.91,163.229,163.697,163.631,1785413700000,BEARISH,-1,0.4797,0.1388,163.048,162.288,1785412800000,NEUTRAL,0,0.3967,0.1773,163.743,162.288,1785409200000,BEARISH,-1,0.3866,0.2277,163.743,163.209
21211,1785415200000,2026-07-30T12:40:00Z,2026-07-30T13:40:00+01:00,true,USDJPY,5,LONDON_NEW_YORK_OVERLAP,LONDON_NEW_YORK_OVERLAP,162.782,162.837,162.701,162.716,3639,BEARISH,0.136,0.066,0.4852941176,0.055,0.015,0.4044117647,0.1102941176,0.1102941176,0.094,0.7021276596,1.4468085106,-0.177,-0.161,-0.266,-1.8829787234,-1.7127659574,-2.829787234,1,0.7219730942,0.5964125561,0.069,0.552,0,5,162.851,CONFIRMED_SWING_LOW,0.135,1.4361,163.91,163.229,163.91,163.229,163.697,163.631,1785413700000,BEARISH,-1,0.4797,0.1388,163.048,162.288,1785412800000,NEUTRAL,0,0.3967,0.1773,163.743,162.288,1785409200000,BEARISH,-1,0.3866,0.2277,163.743,163.209
21212,1785415500000,2026-07-30T12:45:00Z,2026-07-30T13:45:00+01:00,true,USDJPY,5,LONDON_NEW_YORK_OVERLAP,LONDON_NEW_YORK_OVERLAP,162.715,162.82,162.688,162.797,3686,BULLISH,0.132,0.082,0.6212121212,0.023,0.027,0.1742424242,0.2045454545,0.8257575758,0.0967,0.847983454,1.3650465357,-0.074,-0.111,-0.126,-0.7652533609,-1.1478800414,-1.3029989659,0.313559322,0.4065934066,0.2692307692,0.119,0.9015151515,1,0,162.851,CONFIRMED_SWING_LOW,0.054,0.5583,163.91,163.229,163.91,163.229,163.697,163.631,1785414600000,BEARISH,-1,0.5772,0.1457,163.048,162.288,1785412800000,NEUTRAL,0,0.3967,0.1773,163.743,162.288,1785409200000,BEARISH,-1,0.3866,0.2277,163.743,163.209
21213,1785415800000,2026-07-30T12:50:00Z,2026-07-30T13:50:00+01:00,true,USDJPY,5,LONDON_NEW_YORK_OVERLAP,LONDON_NEW_YORK_OVERLAP,162.797,162.923,162.784,162.901,3370,BULLISH,0.139,0.104,0.7482014388,0.022,0.013,0.1582733813,0.0935251799,0.8417266187,0.0997,1.0431293882,1.3941825476,0.12,0.003,-0.025,1.2036108325,0.0300902708,-0.2507522568,0.48,0.0081743869,0.0439367311,0.036,0.2727272727,2,0,162.949,CONFIRMED_SWING_HIGH,0.048,0.4813,163.91,163.229,163.91,163.229,163.697,163.631,1785414600000,BEARISH,-1,0.5772,0.1457,163.048,162.288,1785412800000,NEUTRAL,0,0.3967,0.1773,163.743,162.288,1785409200000,BEARISH,-1,0.3866,0.2277,163.743,163.209
21214,1785416100000,2026-07-30T12:55:00Z,2026-07-30T13:55:00+01:00,true,USDJPY,5,LONDON_NEW_YORK_OVERLAP,LONDON_NEW_YORK_OVERLAP,162.902,162.962,162.884,162.96,2016,BULLISH,0.078,0.058,0.7435897436,0.002,0.018,0.0256410256,0.2307692308,0.9743589744,0.0982,0.5906313646,0.7942973523,0.244,0.067,0.068,2.4847250509,0.6822810591,0.6924643585,1,0.1591448931,0.1144781145,0.039,0.5,3,0,162.949,CONFIRMED_SWING_HIGH,0.011,0.112,163.91,163.229,163.91,163.229,163.697,163.631,1785414600000,BEARISH,-1,0.5772,0.1457,163.048,162.288,1785412800000,NEUTRAL,0,0.3967,0.1773,163.743,162.288,1785409200000,BEARISH,-1,0.3866,0.2277,163.743,163.209
21215,1785416400000,2026-07-30T13:00:00Z,2026-07-30T14:00:00+01:00,true,USDJPY,5,LONDON_NEW_YORK_OVERLAP,LONDON_NEW_YORK_OVERLAP,162.952,162.964,162.903,162.921,2095,BEARISH,0.061,0.031,0.5081967213,0.012,0.018,0.1967213115,0.2950819672,0.2950819672,0.0955,0.3246073298,0.6387434555,0.124,0.05,0.016,1.2984293194,0.5235602094,0.167539267,0.6138613861,0.1141552511,0.0258064516,0.059,0.9672131148,0,1,162.949,CONFIRMED_SWING_HIGH,0.028,0.2931,163.91,163.229,163.91,163.229,163.697,163.631,1785415500000,BEARISH,-1,0.4019,0.1549,163.048,162.288,1785414600000,NEUTRAL,0,0.3363,0.1842,163.743,162.288,1785412800000,BEARISH,-1,0.3691,0.231,163.743,162.288
21216,1785416700000,2026-07-30T13:05:00Z,2026-07-30T14:05:00+01:00,true,USDJPY,5,LONDON_NEW_YORK_OVERLAP,LONDON_NEW_YORK_OVERLAP,162.92,162.926,162.845,162.915,2444,BEARISH,0.081,0.005,0.0617283951,0.006,0.07,0.0740740741,0.8641975309,0.8641975309,0.0945,0.0529100529,0.8571428571,0.014,0.134,-0.033,0.1481481481,1.417989418,-0.3492063492,0.1346153846,0.3785310734,0.0566037736,0.023,0.3770491803,0,2,162.949,CONFIRMED_SWING_HIGH,0.034,0.3598,163.91,163.229,163.91,163.229,163.697,163.631,1785415500000,BEARISH,-1,0.4019,0.1549,163.048,162.288,1785414600000,NEUTRAL,0,0.3363,0.1842,163.743,162.288,1785412800000,BEARISH,-1,0.3691,0.231,163.743,162.288
21217,1785417000000,2026-07-30T13:10:00Z,2026-07-30T14:10:00+01:00,true,USDJPY,5,LONDON_NEW_YORK_OVERLAP,LONDON_NEW_YORK_OVERLAP,162.914,162.936,162.848,162.879,3871,BEARISH,0.088,0.035,0.3977272727,0.022,0.031,0.25,0.3522727273,0.3522727273,0.094,0.3723404255,0.9361702128,-0.081,0.163,0.002,-0.8617021277,1.7340425532,0.0212765957,1,0.5015384615,0.003649635,0.078,0.962962963,0,3,162.949,CONFIRMED_SWING_HIGH,0.07,0.7445,163.91,163.229,163.91,163.229,163.697,163.631,1785415500000,BEARISH,-1,0.4019,0.1549,163.048,162.288,1785414600000,NEUTRAL,0,0.3363,0.1842,163.743,162.288,1785412800000,BEARISH,-1,0.3691,0.231,163.743,162.288
