fetched_at_utc,datetime,open,high,low,close,volume
2026-07-04T17:02:54Z,2026-06-03,159.93628,160.09706,159.39599,160.09467,
2026-07-04T17:02:54Z,2026-06-02,159.67565,159.99437,159.60003,159.93617,
2026-07-04T17:02:54Z,2026-06-01,159.3415,159.75893,159.31992,159.67768,
2026-07-04T17:02:54Z,2026-05-31,159.28561,159.46132,159.24928,159.34671,
2026-07-04T17:02:54Z,2026-05-30,159.26462,159.3079,159.25641,159.28482,
2026-07-04T17:02:54Z,2026-05-29,159.24988,159.38362,159.10164,159.25836,
2026-07-04T17:02:54Z,2026-05-28,159.52548,159.65575,159.14464,159.24842,
2026-07-04T17:02:54Z,2026-05-27,159.30989,159.58495,159.17856,159.52655,
2026-07-04T17:02:54Z,2026-05-26,158.92832,159.38223,158.86608,159.31182,
2026-07-04T17:02:54Z,2026-05-25,158.92922,159.04201,158.7515,158.93242,
2026-07-04T17:02:54Z,2026-05-24,159.2087,159.46915,158.71121,158.94744,
2026-07-04T17:02:54Z,2026-05-23,159.20363,159.22028,159.13494,159.2087,
2026-07-04T17:02:54Z,2026-05-22,158.99769,159.23742,158.9086,159.20212,
2026-07-04T17:02:54Z,2026-05-21,158.93237,159.3454,158.82485,158.99722,
2026-07-04T17:02:54Z,2026-05-20,159.08527,159.17332,158.58506,158.93592,
2026-07-04T17:02:54Z,2026-05-19,158.85515,159.24221,158.75689,159.08635,
2026-07-04T17:02:54Z,2026-05-18,158.68791,159.12201,158.5656,158.85335,
2026-07-04T17:02:54Z,2026-05-17,158.70652,158.86306,158.51892,158.68471,
2026-07-04T17:02:54Z,2026-05-16,158.77636,158.81028,158.63356,158.71026,
2026-07-04T17:02:54Z,2026-05-15,158.40183,158.84713,158.31256,158.77675,
2026-07-04T17:02:54Z,2026-05-14,157.88999,158.42548,157.60812,158.40024,
2026-07-04T17:02:54Z,2026-05-13,157.61545,157.92931,157.56987,157.88909,
2026-07-04T17:02:54Z,2026-05-12,157.22704,157.76515,157.1174,157.61982,
2026-07-04T17:02:54Z,2026-05-11,156.59976,157.27449,156.44527,157.22577,
2026-07-04T17:02:54Z,2026-05-10,156.67996,156.85968,156.47235,156.61929,
2026-07-04T17:02:54Z,2026-05-09,156.6931,156.75458,156.63319,156.67892,
2026-07-04T17:02:54Z,2026-05-08,156.94679,156.9877,156.45615,156.69034,
2026-07-04T17:02:54Z,2026-05-07,156.38824,156.94958,156.04493,156.94741,
2026-07-04T17:02:54Z,2026-05-06,157.8909,157.93649,155.08038,156.38812,
2026-07-04T17:02:54Z,2026-05-05,157.25077,157.92168,157.10483,157.88797,
2026-07-04T17:02:54Z,2026-05-04,156.89551,157.69254,155.82019,157.25649,
2026-07-04T17:02:54Z,2026-05-03,157.02204,157.30408,156.62196,156.87838,
2026-07-04T17:02:54Z,2026-05-02,157.06721,157.16633,156.95158,157.07765,
2026-07-04T17:02:54Z,2026-05-01,156.61448,157.60746,155.60039,157.06932,
2026-07-04T17:02:54Z,2026-04-30,160.44565,160.7163,155.66172,156.62545,
2026-07-04T17:02:54Z,2026-04-29,159.61774,160.46707,159.52506,160.44656,
2026-07-04T17:02:54Z,2026-04-28,159.42717,159.79317,158.97791,159.62029,
2026-07-04T17:02:54Z,2026-04-27,159.56689,159.6184,159.10308,159.42995,
2026-07-04T17:02:54Z,2026-04-26,159.37033,159.72755,158.88246,159.57647,
2026-07-04T17:02:54Z,2026-04-25,159.36632,159.56306,159.25889,159.37383,
2026-07-04T17:02:54Z,2026-04-24,159.74743,159.84609,159.32904,159.3729,
2026-07-04T17:02:54Z,2026-04-23,159.47465,159.84777,159.30214,159.74873,
2026-07-04T17:02:54Z,2026-04-22,159.39437,159.58194,159.11969,159.47784,
2026-07-04T17:02:54Z,2026-04-21,158.82693,159.64373,158.71324,159.3956,
2026-07-04T17:02:54Z,2026-04-20,158.79025,159.20385,158.56339,158.82886,
2026-07-04T17:02:54Z,2026-04-19,158.58659,159.02361,157.89609,158.79069,
2026-07-04T17:02:54Z,2026-04-18,158.62299,158.90472,157.9924,158.56643,
2026-07-04T17:02:54Z,2026-04-17,159.15039,159.52353,157.62772,158.62356,
2026-07-04T17:02:54Z,2026-04-16,158.9796,159.32576,158.24595,159.15489,
2026-07-04T17:02:54Z,2026-04-15,158.81055,159.15384,158.66119,158.98396,
2026-07-04T17:02:54Z,2026-04-14,159.44894,159.46702,158.61529,158.81164,
2026-07-04T17:02:54Z,2026-04-13,159.56978,159.85746,159.30192,159.45216,
2026-07-04T17:02:54Z,2026-04-12,159.25013,159.77498,158.80777,159.57218,
2026-07-04T17:02:54Z,2026-04-11,159.29938,159.30328,159.18126,159.25309,
2026-07-04T17:02:54Z,2026-04-10,158.99896,159.36528,158.95141,159.30185,
2026-07-04T17:02:54Z,2026-04-09,158.58094,159.28977,158.49751,159.00167,
2026-07-04T17:02:54Z,2026-04-08,159.61984,159.64843,157.87451,158.58407,
2026-07-04T17:02:54Z,2026-04-07,159.68691,160.03641,159.48216,159.62133,
2026-07-04T17:02:54Z,2026-04-06,159.70247,159.80706,159.32448,159.68838,
2026-07-04T17:02:54Z,2026-04-05,159.64088,160.11121,159.21327,159.70628,
2026-07-04T17:02:54Z,2026-04-04,159.64107,159.70204,159.50888,159.64177,
2026-07-04T17:02:54Z,2026-04-03,159.66917,159.69783,159.42241,159.64147,
2026-07-04T17:02:54Z,2026-04-02,158.90262,159.7509,158.5425,159.66839,
2026-07-04T17:02:54Z,2026-04-01,158.71143,159.00787,158.28981,158.90565,
2026-07-04T17:02:54Z,2026-03-31,159.70568,159.97571,158.69822,158.71263,
2026-07-04T17:02:54Z,2026-03-30,160.23505,160.56062,159.332,159.70574,
2026-07-04T17:02:54Z,2026-03-29,160.2711,160.42009,159.47791,160.22639,
2026-07-04T17:02:54Z,2026-03-28,160.15671,160.34908,159.56794,160.27038,
2026-07-04T17:02:54Z,2026-03-27,159.83106,160.39895,159.29525,160.15533,
